ENSG00000004059	ARF5,gtpase activity,retrograde vesicle-mediated transport,protein binding,intracellular protein transport,golgi to endoplasmic reticulum transport,plasma membrane localization
ENSG00000042753	AP2S1,clathrin adaptor activity,protein binding,endocytosis regulation,intracellular protein transport,synaptic vesicle endocytosis,plasma membrane localization
ENSG00000249915	PDCD6,protein-macromolecule adaptor activity,calcium ion binding,identical protein binding,ca2+-dependent protein binding,ubiquitin-like ligase-substrate adaptor activity,metal ion binding
ENSG00000142186	SCYL1,protein kinase activity,atp binding,protein-protein interactions,dna binding,cadherin binding,golgi to endoplasmic reticulum transport
ENSG00000150961	SEC24D,intracellular protein transport,er-to-golgi vesicle-mediated transport,snare binding,metal ion binding,zinc ion binding,protein trafficking
ENSG00000100934	SEC23A,protein binding,gtpase activator activity,metal ion binding,intracellular protein transport,copii-coated vesicle cargo loading,budding from endoplasmic reticulum
ENSG00000213983	AP1G2,vesicle-mediated transport,golgi to vacuole transport,intracellular protein transport,clathrin adaptor activity,endomembrane system localization,molecular trafficking regulation
ENSG00000181744	DIPK2A,golgi apparatus localization,copi-coated vesicle formation,phosphatidylinositol 3-kinase/protein kinase b signal transduction regulation,cardiac muscle cell proliferation,smooth muscle cell apoptotic process regulation,protein kinase c activity modulation
ENSG00000106367	AP1S1,clathrin adaptor activity,intracellular protein transport,receptor-mediated endocytosis,platelet dense granule organization,basolateral protein secretion,melanosome assembly
ENSG00000176986	SEC24C,metal ion binding,snare binding,zinc ion binding,protein binding,intracellular protein transport,endoplasmic reticulum to golgi vesicle-mediated transport
ENSG00000196961	AP2A1,clathrin adaptor activity,low-density lipoprotein particle receptor binding,vesicle-mediated transport,receptor-mediated endocytosis,synaptic vesicle endocytosis,plasma membrane localization
ENSG00000117153	KLHL12,ubiquitin-like ligase-substrate adaptor activity,protein binding,wnt signaling pathway regulation,cytoplasmic vesicle localization,copii-coated er-to-golgi transport vesicle involvement,cul3-ring ubiquitin ligase complex interaction
ENSG00000075826	SEC31B,endoplasmic reticulum to golgi vesicle-mediated transport,copii-coated vesicle cargo loading,vesicle-mediated transport,structural molecule activity,er exit site localization,copii vesicle coat association
ENSG00000079332	SAR1A,gtp binding activity,gtpase activity,protein transport regulation,torc1 signaling regulation,lipoprotein transport,vesicle organization
ENSG00000162517	PEF1,rna binding activity,protein heterodimerization activity,calcium ion binding,ubiquitin-like ligase-substrate adaptor activity,neural crest cell development,endoplasmic reticulum to golgi vesicle-mediated transport
ENSG00000157020	SEC13,structural molecule activity,protein binding,copii-coated vesicle cargo loading,cellular response to nutrient levels,nucleocytoplasmic transport,protein export
ENSG00000138674	SEC31A,copii-coated vesicle cargo loading,vesicle-mediated transport,endoplasmic reticulum organization,ca2+ response regulation,structural molecule activity,protein binding
ENSG00000104490	NCALD,calcium ion binding,regulation of signal transduction,vesicle-mediated transport,cytoskeletal integrity regulation,metal ion binding,clathrin coat association
ENSG00000113615	SEC24A,er-to-golgi transport regulation,metal ion binding,snare binding,cholesterol homeostasis,copii-coated vesicle cargo loading,vesicle-mediated transport
ENSG00000138802	SEC24B,protein transport,intracellular protein transport,cargo loading,copii-coated vesicle formation,metal ion binding,snare binding
ENSG00000122705	CLTA,structural molecule activity,intracellular protein transport,endocytic pathway regulation,clathrin-coated vesicle assembly,cytoskeleton association,protein-binding activity
ENSG00000124882	EREG,epidermal growth factor receptor binding,growth factor activity,erbb2-egfr signaling pathway,angiogenesis,cell proliferation,survival
ENSG00000161203	AP2M1,lipid binding activity,low-density lipoprotein particle receptor binding activity,clathrin adaptor activity,vesicle size regulation,cytosolic vesicle localization,synaptic vesicle endocytosis regulation
ENSG00000188906	LRRK2,microtubule binding,gtpase activator activity,jnk cascade,insulin-like growth factor receptor signaling,glucose metabolism,membrane scission gtpase motor activity
ENSG00000175416	CLTB,clathrin-mediated endocytosis,intracellular protein transport,vesicle-mediated transport,synaptic vesicle endocytosis,cytoplasmic vesicle localization,trans-golgi network interaction
ENSG00000281385	AP2A2,intracellular protein transport,synaptic vesicle endocytosis,clathrin-dependent endocytosis,endocytosis,lipid binding,protein binding
ENSG00000089818	NECAP1,vesicle-mediated transport,protein binding,endocytosis,clathrin-coated pit formation,insulin-like growth factor signaling pathway regulation,plasma membrane localization
ENSG00000198399	ITSN2,calcium ion binding,protein binding,guanyl-nucleotide exchange factor activity,molecular adaptor activity,metal ion binding,clathrin-dependent synaptic vesicle endocytosis
ENSG00000136238	RAC1,rho gdp-dissociation inhibitor binding,g protein activity,gtp binding,actin cytoskeleton organization,positive regulation of cell-substrate adhesion,rac protein signal transduction
ENSG00000118473	SGIP1,receptor-mediated endocytosis,clathrin-dependent endocytosis,energy homeostasis,microtubule binding,tubulin binding,sh3 domain binding
ENSG00000085832	EPS15,endosomal transport,vesicle organization,receptor-mediated endocytosis,cell population proliferation,celular membrane localization,polyubiquitin modification-dependent protein binding
ENSG00000205726	ITSN1,proline-rich region binding,calcium ion binding,guanyl-nucleotide exchange factor activity,molecular adaptor activity,exocytosis,intracellular signal transduction
ENSG00000115977	AAK1,histone kinase activity,protein serine/threonine kinase activity,notch binding,chromatin remodeling,presynaptic endocytosis,membrane organization
ENSG00000157191	NECAP2,protein binding,vesicle-mediated transport,endocytosis,clathrin-coated pit formation,cytosolic vesicle localization,clathrin-coat component interaction
ENSG00000135597	REPS1,endocytosis,sh3 domain binding,calcium ion binding,metal ion binding,plasma membrane localization,intracellular organelle association
ENSG00000157107	FCHO2,phosphatidylinositol-4,5-bisphosphate binding,clathrin coat assembly,endocytosis,protein localization to plasma membrane,cytosol localization
ENSG00000067560	RHOA,rho gtpase activity,g protein activity,membrane scission gtpase motor activity,actin cytoskeleton organization,rho protein signal transduction,cytokinesis regulation
ENSG00000125447	GGA3,protein-containing complex binding,protein transporter activity,golgi to plasma membrane transport,vesicle-mediated transport,ubiquitin binding,phosphatidylinositol binding
ENSG00000070371	CLTCL1,intracellular protein transport,vesicle-mediated transport,receptor-mediated endocytosis,mitotic cell cycle regulation,anatomical structure morphogenesis,cytoplasmic vesicle localization
ENSG00000130475	FCHO1,ap-2 adaptor complex binding,protein binding,t cell receptor signaling pathway,clathrin coat assembly,clathrin-dependent endocytosis,endocytosis
ENSG00000141367	CLTC,structural molecule activity,protein binding,receptor internalization,intracellular protein transport,autophagy,cytoskeleton localization
ENSG00000006125	AP2B1,clathrin-mediated endocytosis,intracellular protein transport,c cardiac morphogenesis,synaptic vesicle endocytosis,postsynaptic neurotransmitter receptor internalization,clathrin-dependent endocytosis
ENSG00000150995	ITPR1,inositol 1,4,5-trisphosphate receptor activity,calcium ion binding,intracellularly gated calcium channel activity,regulation of postsynaptic cytosolic calcium levels
ENSG00000170296	GABARAP,autophagy regulation,microtubule binding,phosphatidylethanolamine binding,ubiquitin-proteasome system interaction,cytoplasmic localization,autophagosome maturation
ENSG00000096433	ITPR3,calcium ion binding,intracellularly gated calcium channel activity,calcium channel activity,calcium ion transmembrane transport,ca2+-mediated signaling,sensory perception of taste
ENSG00000123104	ITPR2,calcium ion binding,intracellularly gated calcium channel activity,calcium ion transmembrane transporter activity,response to hypoxia,ca²⁺-activated cation channel activity,sarcoplasmic reticulum membrane localization
ENSG00000121653	MAPK8IP1,protein kinase inhibitor activity,kinesin binding,regulation of jnk cascade,jun kinase binding,scaffolding protein function,vesicle-mediated transport regulation
ENSG00000138834	MAPK8IP3,scaffold protein activity,mitogen-activated protein kinase kinase binding,jun kinase binding,map-kinase scaffold activity,kinesin binding,protein binding
ENSG00000008294	SPAG9,signaling receptor complex adaptor activity,map-kinase scaffold activity,jun kinase binding,protein binding,kinesin binding,striated muscle cell differentiation
ENSG00000115993	TRAK2,mitochondrial transport regulation,gaba receptor binding,signaling receptor binding,vesicle transport along microtubule,protein targeting,axonal transport of mitochondrion
ENSG00000177105	RHOG,small gtpase activity,actin filament organization,regulation of actin cytoskeleton organization,rho protein signal transduction,positive regulation of dna-templated transcription,focal adhesion formation
ENSG00000116786	PLEKHM2,lysosome localization,lysosomal membrane association,protein-protein interactions,kinesin binding,natural killer cell-mediated cytotoxicity,golgi organization
ENSG00000171603	CLSTN1,amyloid-beta binding,calcium ion binding,kinesin binding,protein binding,x11-like protein binding,neurotransmitter receptor transport
